,daily,3m flow $b,price
2011-09-30,813.3775996479754,2.1628114496509854,880.43
2011-10-03,-38.98674883864345,2.1152003719787293,852.24
2011-10-04,71.20347010251103,2.0196377097691163,831.22
2011-10-05,-151.43969504665077,1.791946033046581,836.54
2011-10-06,-73.11819810219896,1.611749962349043,864.08
2011-10-07,119.72919284759337,1.722967423260858,883.9
2011-10-10,-4.0964126795046765,1.67688509082387,898.27
2011-10-11,-68.44448032188966,1.4904910944094159,909.43
2011-10-12,18.825601336198332,1.5050692295886918,923.15
2011-10-13,96.22346162599443,1.5634469602289154,930.47
2011-10-14,54.48821888773832,1.5613858565890266,935.5
2011-10-17,105.60410853998687,1.6142016064704714,941.02
2011-10-18,36.32528693793956,1.6191108762546582,925.13
2011-10-19,71.61076401356303,1.7765368819173828,932.95
2011-10-20,47.18296389805301,1.7978978983407157,907.71
2011-10-21,19.679052983351145,1.7965228342155026,920.07
2011-10-24,11.236787809043825,1.8060278851572256,949.39
2011-10-25,63.6235748260981,1.853166419925947,955.28
2011-10-26,34.275201164192815,1.833981101540826,960.38
2011-10-27,85.3569173269587,1.92978718003011,993.81
2011-10-28,156.13131500861004,3.7699138582206295,1010.12
2011-10-31,6200.3177717701865,9.928743259943033,995.0
2011-11-01,53.30517846058203,9.899399489356579,968.69
2011-11-02,198.9921169643737,10.007293039137489,977.11
2011-11-03,-65.188977661257,9.933594855442268,973.99
2011-11-04,177.87158389043557,10.238685811779604,989.63
2011-11-07,155.24777623048928,10.455193018085332,990.29
2011-11-08,51.19991462594366,10.735800193843897,990.56
2011-11-09,2.192973649957181,10.641443477687089,980.01
2011-11-10,32.633316409973155,10.583168276492344,953.95
2011-11-11,-16.328477732922988,10.527948141504536,971.15
2011-11-14,-5.390359902435316,10.440907937890199,976.86
2011-11-15,67.23235180073442,10.427556104616484,969.2
2011-11-16,115.19068299651907,10.317300583615152,960.05
2011-11-17,-8.694594398298143,10.261444794156233,951.97
2011-11-18,31.823369715087065,10.14254250825638,934.08
2011-11-21,130.62674668880615,10.240977213552398,909.84
2011-11-22,17.112514897433677,10.38880892877854,909.34
2011-11-23,34.12050768555154,10.27936002250679,885.26
2011-11-24,-25.613468820796133,10.192750728517563,888.24
2011-11-25,52.44842763736383,10.28065788294458,877.4
2011-11-28,18.51851545366217,10.166415104115584,902.28
2011-11-29,-20.825776443930728,10.13984321650925,909.48
2011-11-30,-449.80605224569865,9.587742152581484,928.32
2011-12-01,238.26810958909874,9.639852526490563,959.12
2011-12-02,15.874299036894882,9.538615623598389,960.83
2011-12-05,29.53533501266559,9.56089368288222,966.19
2011-12-06,1.3901197506261527,9.383977871785577,953.5
2011-12-07,95.81026576454012,9.426724093303859,959.33
2011-12-08,64.40729774823241,9.382848339538313,947.59
2011-12-09,-24.976886057515113,9.154947799517487,934.18
2011-12-12,475.7860188970148,9.592067332989238,924.91
2011-12-13,-465.62519970521384,9.06541501044663,916.86
2011-12-14,498.8646451927991,9.510864693663017,903.95
2011-12-15,-10.669035985996373,9.482946710430392,896.68
2011-12-16,234.52754352465163,9.571964328404158,904.09
2011-12-19,783.8069181994379,10.296126023035361,888.77
2011-12-20,93.48374630439783,10.33402441322955,900.79
2011-12-21,77.29811235165062,10.358506830023634,916.2
2011-12-22,42.83537319819285,10.257482864744942,919.55
2011-12-23,193.4439031596727,10.372138187067499,927.7
2011-12-26,0.0,10.310204822449025,927.63
2011-12-27,32.01113203353235,10.376368761015142,924.28
2011-12-28,-13.54148528553947,10.485537891861572,913.11
2011-12-29,619.007028424173,11.197311264791997,914.21
2011-12-30,2281.8301794774284,12.66576384462145,916.39
2012-01-02,-0.7394859021061072,12.704011107557989,917.08
2012-01-03,-12.557713903822282,12.620249923551654,939.91
2012-01-04,336.00124334165787,13.107690861939965,937.54
2012-01-05,86.33397557207438,13.267143035614236,932.44
2012-01-06,158.92066089049032,13.306334503657132,927.06
2012-01-09,179.64676123493228,13.490077677571572,930.87
2012-01-10,94.33226793686092,13.652854425830322,948.82
2012-01-11,22.463706333951876,13.656492530828073,948.65
2012-01-12,-11.728137196334908,13.548540932005745,953.48
2012-01-13,134.56108744736025,13.628613800565367,952.92
2012-01-16,-10.458799907115097,13.512550892118265,951.83
2012-01-17,222.27031323399447,13.69849591841432,972.35
2012-01-18,-35.90217292155544,13.5909829814792,980.93
2012-01-19,83.3184388468861,13.627118456428036,991.38
2012-01-20,18.8967625637317,13.626336166008414,995.08
2012-01-23,78.93349642666486,13.694032874626037,999.64
2012-01-24,70.39870649458858,13.700808006294526,997.6
2012-01-25,37.606651472784826,13.704139456603118,999.6
2012-01-26,155.93203711537382,13.774714576391533,1014.98
2012-01-27,149.5363463637223,13.768119607746645,1016.61
2012-01-30,57.65604765639585,7.625457883632856,1006.17
2012-01-31,5455.656292893699,13.027808998065971,1019.39
2012-02-01,86.42034254208716,12.915237223643686,1029.85
2012-02-02,205.53309427365826,13.1859592955786,1043.96
2012-02-03,117.79546062804036,13.125883172316207,1048.36
2012-02-06,123.61567856337919,13.094251074649097,1047.22
2012-02-07,174.9955694234635,13.218046729446616,1048.56
2012-02-08,30.21873774247794,13.246072493539137,1060.7
2012-02-09,91.50269905190397,13.304941876181068,1061.68
2012-02-10,104.82354532632804,13.42609389924032,1042.15
2012-02-13,145.48064905228821,13.576964908195041,1053.0
2012-02-14,315.71001923435136,13.825442575628658,1046.96
2012-02-15,47.69566080952376,13.757947553441664,1058.47
2012-02-16,79.72509672809095,13.846367244568054,1049.24
2012-02-17,190.38018967684062,14.004924064529805,1062.46
2012-02-20,29.70348824027662,13.904000806081276,1066.51
2012-02-21,78.66472422365885,13.965553015407503,1064.41
2012-02-22,117.41172873700668,14.048844236458958,1064.56
2012-02-23,-137.92937774656176,13.93652832753319,1059.26
2012-02-24,-73.99173368846152,13.810088166207366,1067.56
2012-02-27,166.88559626543088,13.958455247019133,1056.51
2012-02-28,-94.8573046729879,13.884423718790078,1068.82
2012-02-29,4965.750617080791,19.29998038811657,1079.44
2012-03-01,-48.264125011684925,19.01344815351578,1076.42
2012-03-02,16.688605602735343,19.014262460081625,1079.94
2012-03-05,110.56876555404864,19.09529589062301,1065.3
2012-03-06,151.67042244814508,19.245576193320524,1041.2
2012-03-07,71.65984276568425,19.221425770321673,1037.71
2012-03-08,31.376445353131917,19.18839491792657,1052.69
2012-03-09,80.96178599379272,19.294333589977875,1060.01
2012-03-12,86.43116595032893,18.904978737031193,1050.5
2012-03-13,104.80420440687236,19.475408141143276,1066.54
2012-03-14,198.28052482188315,19.174824020772363,1066.83
2012-03-15,128.1058598260927,19.31359891658445,1065.45
2012-03-16,137.60173183226618,19.216673104892067,1063.34
2012-03-19,79.69395449393451,18.51256014118656,1061.31
2012-03-20,80.08255929275009,18.499158954174913,1049.79
2012-03-21,69.73683411089736,18.491597675934162,1047.62
2012-03-22,-4.003671367743466,18.444758631368227,1040.58
2012-03-23,71.60110271947184,18.322915830928025,1041.96
2012-03-26,450.65716297623777,18.773572993904263,1044.31
2012-03-27,3592.5034775061076,22.33406533937684,1055.42
2012-03-28,-3516.079500638564,18.831527324023813,1043.9
2012-03-29,31.570875792212373,18.24409117139185,1032.6
2012-03-30,1411.5497828914004,17.373810774805825,1041.45
2012-04-02,254.30897180474702,17.628859232512678,1047.72
2012-04-03,237.6744547794709,17.87909140119597,1055.63
2012-04-04,146.0085759796935,17.689098733834005,1037.33
2012-04-05,78.1231275679158,17.680887885829847,1037.26
2012-04-06,0.0,17.52196722493936,1036.71
2012-04-09,148.43962820484015,17.490760091909266,1026.29
2012-04-10,-34.62045751800568,17.3618073664544,1016.17
2012-04-11,80.23970077891083,17.419583360899356,1016.21
2012-04-12,207.43790557871083,17.638749403674403,1024.9
2012-04-13,176.8257666674539,17.681014082894496,1027.31
2012-04-16,84.1961609661311,17.775669043767742,1020.0
2012-04-17,17.82182439545183,17.5712205549292,1020.08
2012-04-18,60.35578097272769,17.667478508823482,1023.75
2012-04-19,299.5870102745306,17.883747080251126,1023.49
2012-04-20,-28.83116509665891,17.836019152590737,1021.51
2012-04-23,197.95422991567366,17.955039886079746,1007.96
2012-04-24,324.7959745800089,18.209437154165165,1011.13
2012-04-25,46.10354536036771,18.21793404805275,1011.54
