,usd_exposure,eur_exposure,gbp_exposure,jpy_exposure,emfx_exposure,fi_exposure,dmequity_exposure,emequity_exposure,com_exposure,ags_exposure
2015-06-17,20.56382695893095,0.16115789490189333,18.86960623461113,-13.397111817439324,-62.79379161680025,9.738999392608806,48.371368750174405,-2.626175293652866,-81.56413483241859,-18.16254037322885
2015-06-18,19.149520663962477,0.16115789490189333,21.815542181767228,-13.397111817439324,-64.53092835909537,9.738999392608806,44.85368959703094,-5.038584301080996,-81.56413483241859,-16.563651412789085
2015-06-19,19.149520663962477,0.16115789490189333,21.815542181767228,-13.397111817439324,-64.53092835909537,9.738999392608806,49.149334806583,-9.414166663891494,-81.56413483241859,-18.359581448890907
2015-06-22,19.149520663962477,0.16115789490189333,21.815542181767228,-13.397111817439324,-61.89924523614431,19.77421951839496,49.149334806583,-13.728550246703133,-81.56413483241859,-18.359581448890907
2015-06-23,19.149520663962477,0.16115789490189333,21.815542181767228,-13.397111817439324,-61.89924523614431,13.27371779193797,49.149334806583,-13.728550246703133,-81.56413483241859,-15.713470972695548
2015-06-24,19.149520663962477,0.16115789490189333,21.815542181767228,-13.397111817439324,-61.262171296903574,-4.484784529524421,45.93927456143351,-13.728550246703133,-81.56413483241859,-15.713470972695548
2015-06-25,19.149520663962477,0.16115789490189333,21.815542181767228,-13.397111817439324,-61.262171296903574,-4.484784529524421,45.93927456143351,-15.618643758357944,-81.56413483241859,-15.713470972695548
2015-06-26,20.814009309943984,-1.5033307510796177,21.815542181767228,-13.397111817439324,-59.59114844632547,-4.484784529524421,45.93927456143351,-15.618643758357944,-81.56413483241859,-5.57647678854776
2015-06-29,20.814009309943984,-1.5033307510796177,21.815542181767228,-13.397111817439324,-61.802700028052236,-4.484784529524421,47.341469027286095,-17.54179689926062,-83.34050553294948,9.501935319696774
2015-06-30,20.814009309943984,-1.5033307510796177,21.815542181767228,-13.397111817439324,-63.29105592972693,1.9871331197287458,47.84534241716713,-21.216720147252012,-83.34050553294948,17.974630790725016
2015-07-01,17.475793548592552,-1.5033307510796177,21.815542181767228,-10.058896056087889,-65.46284983554261,1.9871331197287458,45.96923115366495,-21.216720147252012,-83.34050553294948,17.14974628463342
2015-07-02,17.475793548592552,-1.5033307510796177,21.815542181767228,-10.058896056087889,-65.46284983554261,1.9871331197287458,47.88200023418036,-21.216720147252012,-83.34050553294948,19.249234727109656
2015-07-03,21.505915106408736,-1.5033307510796177,21.815542181767228,-10.058896056087889,-65.77809084065774,9.708052887578354,47.88200023418036,-21.216720147252012,-85.88516882327038,19.249234727109656
2015-07-06,22.794008501313893,0.2745789862403518,21.815542181767228,-10.058896056087889,-65.77809084065774,9.708052887578354,47.88200023418036,-23.123628777386408,-91.62100243814301,19.249234727109656
2015-07-07,22.794008501313893,0.2745789862403518,21.815542181767228,-10.058896056087889,-65.77809084065774,5.436677425580623,44.034148892219896,-23.886029865251604,-102.99665552004986,19.249234727109656
2015-07-08,22.794008501313893,0.2745789862403518,21.815542181767228,-7.590354690238513,-67.1637298106047,5.436677425580623,41.124116013624175,-32.321843142613815,-104.88690067966073,19.249234727109656
2015-07-09,20.99689649307403,-1.299743241551753,18.73384541474907,-6.183214538787396,-68.90117188153923,10.850386037413845,31.455536720752512,-37.25287914829018,-108.33737696355928,21.996184362358434
2015-07-10,20.99689649307403,0.2679133280895313,18.73384541474907,-6.1102030219476875,-68.90117188153923,10.850386037413845,28.358981118514677,-37.25287914829018,-111.96380457046426,21.996184362358434
2015-07-13,20.99689649307403,0.2679133280895313,18.73384541474907,-6.1102030219476875,-68.90117188153923,10.850386037413845,30.292152625487923,-37.25287914829018,-114.30014424123318,24.80947445935568
2015-07-14,20.99689649307403,0.2679133280895313,19.992189125237427,-6.1102030219476875,-72.36848027945118,10.850386037413845,30.292152625487923,-34.97164848163367,-114.30014424123318,24.80947445935568
2015-07-15,22.868699521628024,0.2679133280895313,19.992189125237427,-6.1102030219476875,-75.51514550946492,2.871476409777658,32.34181990087852,-36.76978192194359,-118.6947267187056,24.80947445935568
2015-07-16,22.868699521628024,-2.1355385422434257,22.395640995570385,-6.1102030219476875,-75.51514550946492,2.871476409777658,46.15383017630381,-36.76978192194359,-118.6947267187056,24.80947445935568
2015-07-17,22.868699521628024,-2.1355385422434257,23.93184376763503,-6.1102030219476875,-77.25092489306236,2.871476409777658,46.15383017630381,-32.39419955913309,-118.6947267187056,24.80947445935568
2015-07-20,22.868699521628024,-0.19185357853334212,23.93184376763503,-6.1102030219476875,-79.09761617942118,-5.059436059873244,48.67694541596003,-32.39419955913309,-118.6947267187056,24.80947445935568
2015-07-21,27.38285688344329,-1.824680591747939,23.93184376763503,-6.1102030219476875,-81.07444044930291,2.926380873840878,48.67694541596003,-32.39419955913309,-118.6947267187056,20.180674983897962
2015-07-22,27.38285688344329,-3.5232749943903126,23.93184376763503,-6.1102030219476875,-81.07444044930291,2.926380873840878,45.69917543865267,-34.80243108470824,-118.6947267187056,15.51771639276638
2015-07-23,27.38285688344329,-3.5232749943903126,23.93184376763503,-6.1102030219476875,-81.07444044930291,10.455924177039726,45.69917543865267,-34.80243108470824,-118.6947267187056,7.741194573087748
2015-07-24,27.38285688344329,-1.3789533005080885,23.93184376763503,-6.1102030219476875,-78.85865869472512,23.543588142550572,45.69917543865267,-37.29282699192362,-120.64371583337999,7.741194573087748
2015-07-27,27.38285688344329,-1.3789533005080885,23.93184376763503,-6.1102030219476875,-80.50513546734324,30.861727616330697,56.7322849262022,-39.95627862954077,-122.62172911635449,5.191807573528865
